Category,Centralized Improved,Aggregated Category-Aware,Federated FedAvg,Federated FedProx,Federated Category-Aware
brake_disc,0.9813432835820896,0.8880597014925373,0.9552238805970149,0.958955223880597,0.9664179104477613
engine_wiring,0.6816334314045984,0.6629508553993679,0.6718208564890487,0.6578838400348698,0.6862809196905306
oil_pump_connector,0.6928571428571428,0.7714285714285714,0.6785714285714286,0.7357142857142858,0.7714285714285714
pipe_clip,0.4724088118454316,0.5289996388587939,0.5131816540267244,0.5177320332249911,0.5263633080534489
pipe_staple,0.5164120749227131,0.49222585924713586,0.46481178396072015,0.4982724131660302,0.5064102564102565
right_radiator,0.7794117647058824,0.6176470588235294,0.5294117647058824,0.5441176470588236,0.6764705882352942
tank_screw,0.46676597153260513,0.46540880503144655,0.48619662363455807,0.4713339953657729,0.47424693809996693
underbody_pipes,0.8691938968403996,0.8486362408857682,0.9083175803402647,0.8932959762354847,0.8709154739400486
underbody_screw,0.8459595959595959,0.8119429590017826,0.9413250148544265,0.9527629233511588,0.9558823529411764
