category,samples,anomalies,auroc,ap,tpr_90,tpr_95,tpr_99
brake_disc,136,2,0.9664179104477613,0.5909090909090909,0.5,0.5,0.0
engine_wiring,607,322,0.6862809196905306,0.6998920124531116,0.2577639751552795,0.16770186335403728,0.062111801242236024
oil_pump_connector,33,5,0.7714285714285714,0.34417004048583,0.0,0.0,0.0
pipe_clip,337,142,0.5263633080534489,0.4458150889056286,0.08450704225352113,0.06338028169014084,0.0
pipe_staple,305,117,0.5064102564102565,0.3878054621924308,0.09401709401709402,0.05128205128205128,0.0
right_radiator,38,4,0.6764705882352942,0.29059139784946236,0.25,0.0,0.0
tank_screw,413,95,0.47424693809996693,0.21536425242036616,0.09473684210526316,0.042105263157894736,0.0
underbody_pipes,345,184,0.8709154739400486,0.8499126386050142,0.4945652173913043,0.33152173913043476,0.06521739130434782
underbody_screw,392,18,0.9558823529411764,0.5470236581456163,0.8888888888888888,0.5,0.3333333333333333
